                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.83427,                0.57882,                0.90645,                0.53149,                0.87886,                0.58542,                0.48612,                0.84495,                 1.2969,                0.95657,              0.0012929,              0.0012929,              0.0012929
                     70,                0.85517,                0.59603,                0.92098,                0.52569,                0.89369,                0.58625,                0.48148,                0.84943,                 1.4299,                0.99283,              0.0012874,              0.0012874,              0.0012874
                     71,                0.85905,                0.60746,                0.91962,                0.52208,                0.83718,                0.59049,                0.48538,                0.76491,                 1.3915,                0.88383,              0.0012819,              0.0012819,              0.0012819
                     72,                0.83921,                0.59249,                0.91713,                0.49646,                0.76941,                0.52284,                0.42716,                0.88321,                 1.1877,                0.99921,              0.0012764,              0.0012764,              0.0012764
                     73,                0.83731,                 0.5948,                 0.9154,                0.51684,                0.93593,                0.57464,                0.47281,                0.84299,                 1.4236,                0.99886,              0.0012709,              0.0012709,              0.0012709
                     74,                0.83826,                0.58823,                0.92021,                0.52059,                0.94507,                0.57103,                0.47689,                0.85039,                 1.2964,                0.97641,              0.0012654,              0.0012654,              0.0012654
                     75,                0.83615,                0.57278,                0.91983,                 0.5293,                0.86824,                0.56555,                0.45947,                0.99207,                 1.3927,                 1.0612,              0.0012599,              0.0012599,              0.0012599
                     76,                0.85155,                0.58783,                0.91228,                0.50166,                0.79616,                0.52973,                0.42109,                 1.0446,                 1.3203,                0.95853,              0.0012544,              0.0012544,              0.0012544
                     77,                0.84547,                0.59147,                0.91971,                0.52431,                0.87909,                0.57011,                0.46595,                0.86086,                 1.2474,                0.99019,              0.0012489,              0.0012489,              0.0012489
                     78,                0.84366,                0.58525,                0.92141,                0.52529,                0.89971,                0.57476,                0.47632,                0.83612,                 1.2908,                0.98497,              0.0012434,              0.0012434,              0.0012434
                     79,                 0.8416,                0.58459,                0.91565,                0.53039,                0.91113,                0.58862,                0.48764,                0.77234,                 1.3457,                0.92022,              0.0012379,              0.0012379,              0.0012379
                     80,                0.82892,                0.58982,                0.91351,                0.52898,                0.89292,                0.57194,                0.47895,                 0.8433,                 1.2924,                0.96986,              0.0012324,              0.0012324,              0.0012324
                     81,                0.80292,                0.56518,                0.90905,                0.52936,                0.90971,                0.57553,                0.47836,                0.82855,                 1.2652,                0.95596,              0.0012269,              0.0012269,              0.0012269
                     82,                0.83856,                0.58441,                0.91913,                 0.5259,                 0.8588,                0.55682,                   0.45,                0.96708,                 1.3487,                0.99585,              0.0012214,              0.0012214,              0.0012214
                     83,                0.83131,                0.58302,                0.91746,                0.51412,                0.91848,                0.56629,                 0.4697,                0.88568,                 1.2166,                0.95968,              0.0012159,              0.0012159,              0.0012159
                     84,                0.82793,                0.57245,                0.91456,                0.51821,                0.85869,                0.56986,                0.46241,                0.83422,                 1.3404,                 0.9672,              0.0012104,              0.0012104,              0.0012104
                     85,                0.82724,                0.57713,                0.90584,                0.50282,                0.88052,                0.57151,                0.46608,                0.81648,                 1.2503,                0.97851,              0.0012049,              0.0012049,              0.0012049
                     86,                0.81375,                0.56908,                0.90991,                0.51467,                0.91694,                0.57299,                0.47797,                  0.739,                 1.1713,                0.90245,              0.0011994,              0.0011994,              0.0011994
                     87,                0.79183,                0.54866,                0.89903,                0.52054,                0.91966,                0.56999,                0.46943,                0.84645,                 1.2226,                0.96824,              0.0011939,              0.0011939,              0.0011939
                     88,                0.81431,                0.55683,                0.90786,                0.51126,                0.92407,                0.57055,                0.46777,                 1.0065,                 1.3597,                 1.0829,              0.0011884,              0.0011884,              0.0011884
                     89,                0.82091,                0.56348,                0.91676,                0.50881,                0.86547,                0.55355,                0.45726,                0.84043,                 1.4248,                0.89649,              0.0011829,              0.0011829,              0.0011829
                     90,                0.81358,                0.55137,                 0.9205,                0.51586,                 0.8995,                 0.5559,                0.45439,                0.91789,                 1.2722,                 1.0045,              0.0011774,              0.0011774,              0.0011774
                     91,                 0.8088,                0.54952,                0.91099,                 0.5054,                 0.8645,                0.57276,                0.47549,                0.83256,                 1.3762,                0.91087,              0.0011719,              0.0011719,              0.0011719
                     92,                0.80898,                0.55357,                0.89871,                0.50922,                0.90532,                0.52592,                0.43404,                0.84945,                 1.2576,                0.99166,              0.0011664,              0.0011664,              0.0011664
                     93,                0.80676,                0.54584,                0.90399,                0.49822,                0.89511,                 0.5344,                 0.4387,                0.83286,                 1.3083,                 0.9517,              0.0011609,              0.0011609,              0.0011609
                     94,                0.79481,                0.54502,                0.91028,                0.50591,                0.84733,                 0.5378,                0.44459,                0.88312,                 1.4011,                0.89914,              0.0011554,              0.0011554,              0.0011554
                     95,                0.79497,                0.54852,                0.91386,                0.51294,                0.88385,                0.54594,                0.45184,                0.78604,                 1.2791,                0.94648,              0.0011499,              0.0011499,              0.0011499
                     96,                0.80872,                0.55593,                0.90628,                0.50341,                0.87579,                0.56824,                0.47657,                 0.9809,                 1.3328,                0.97503,              0.0011444,              0.0011444,              0.0011444
                     97,                 0.7889,                0.55353,                0.89978,                0.52856,                0.88206,                0.56917,                0.48053,                0.74756,                 1.1943,                0.94364,              0.0011389,              0.0011389,              0.0011389
                     98,                0.80744,                0.55636,                0.90799,                0.50858,                0.88249,                0.56477,                0.46541,                0.82664,                 1.3463,                 0.9912,              0.0011334,              0.0011334,              0.0011334
                     99,                0.79946,                0.53996,                0.90628,                0.51457,                0.89932,                0.57031,                0.46876,                0.84254,                 1.3199,                0.99641,              0.0011279,              0.0011279,              0.0011279
                    100,                0.79874,                0.53503,                0.90051,                0.48997,                 0.8225,                0.53486,                0.43444,                0.98977,                 1.6619,                 1.0523,              0.0011224,              0.0011224,              0.0011224
                    101,                0.79627,                 0.5421,                0.90782,                0.45338,                0.74976,                0.50229,                0.40286,                 1.0444,                 1.6981,                 1.0492,              0.0011169,              0.0011169,              0.0011169
                    102,                 0.7831,                 0.5434,                0.90202,                 0.5305,                0.89738,                0.54907,                0.46347,                 0.7758,                 1.3607,                0.93918,              0.0011114,              0.0011114,              0.0011114
                    103,                0.79823,                 0.5584,                0.91464,                0.51758,                0.91844,                0.57229,                0.48198,                0.83128,                 1.3497,                0.96394,              0.0011059,              0.0011059,              0.0011059
                    104,                0.80237,                0.56351,                0.90241,                  0.519,                0.88645,                0.59136,                0.49474,                0.91344,                 1.3743,                0.98482,              0.0011004,              0.0011004,              0.0011004
                    105,                0.77445,                0.53057,                0.90265,                0.51705,                0.88676,                 0.5605,                0.46018,                0.80296,                 1.3896,                 0.9052,              0.0010949,              0.0010949,              0.0010949
                    106,                0.77593,                0.52669,                0.90712,                0.51988,                0.87964,                   0.59,                0.50589,                0.83623,                 1.5173,                0.96692,              0.0010894,              0.0010894,              0.0010894
                    107,                0.80328,                0.54065,                0.91214,                0.51308,                0.85339,                 0.5268,                0.43913,                0.87295,                  1.568,                 1.0007,              0.0010839,              0.0010839,              0.0010839
                    108,                0.77689,                0.53531,                0.89819,                0.52073,                0.86974,                0.55048,                0.46645,                 0.8469,                  1.482,                0.98442,              0.0010784,              0.0010784,              0.0010784
                    109,                0.78041,                0.54062,                0.89815,                0.52131,                0.85444,                0.53034,                0.43896,                0.89767,                 1.5542,                 1.0101,              0.0010729,              0.0010729,              0.0010729
